"tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","players_info","match_info"
"2022-8888","Atp Cup","Hard",16,"A",20220103,300,"[{""id"": 200000, ""name"": ""Felix Auger Aliassime"", ""hand"": ""R"",""height"":193,""ioc"":""CAN"",""age"":21.4, ""rank"": 11, ""rank_points"": 3308}, {""id"":105138, ""name"": ""Roberto Bautista Agut"", ""hand"":""R"", ""height"":183, ""ioc"": ""ESP"", ""age"": 33.7, ""rank"": 19, ""rank_points"": 2260}]","{""score"": ""7-6(3) 6-3"", ""best_of"": 3, ""round"": ""F"", ""minutes"": 129, ""winner_id"": 200000, ""loser_id"": 105138}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,299,"[{""id"": 133430, ""name"": ""Denis Shapovalov"", ""hand"": ""L"",""height"":185,""ioc"":""CAN"",""age"":22.7, ""rank"": 14, ""rank_points"": 2475}, {""id"":105807, ""name"": ""Pablo Carreno Busta"", ""hand"":""R"", ""height"":188, ""ioc"": ""ESP"", ""age"": 30.4, ""rank"": 20, ""rank_points"": 2230}]","{""score"": ""6-4 6-3"", ""best_of"": 3, ""round"": ""F"", ""minutes"": 98, ""winner_id"": 133430, ""loser_id"": 105807}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,298,"[{""id"": 105138, ""name"": ""Roberto Bautista Agut"", ""hand"": ""R"",""height"":183,""ioc"":""ESP"",""age"":33.7, ""rank"": 19, ""rank_points"": 2260}, {""id"":128034, ""name"": ""Hubert Hurkacz"", ""hand"":""R"", ""height"":196, ""ioc"": ""POL"", ""age"": 24.8, ""rank"": 9, ""rank_points"": 3706}]","{""score"": ""7-6(6) 2-6 7-6(5)"", ""best_of"": 3, ""round"": ""SF"", ""minutes"": 164, ""winner_id"": 105138, ""loser_id"": 128034}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,297,"[{""id"": 105807, ""name"": ""Pablo Carreno Busta"", ""hand"": ""R"",""height"":188,""ioc"":""ESP"",""age"":30.4, ""rank"": 20, ""rank_points"": 2230}, {""id"":126591, ""name"": ""Jan Zielinski"", ""hand"":""R"", ""height"":null, ""ioc"": ""POL"", ""age"": 25.1, ""rank"": 860, ""rank_points"": 18}]","{""score"": ""6-2 6-1"", ""best_of"": 3, ""round"": ""SF"", ""minutes"": 53, ""winner_id"": 105807, ""loser_id"": 126591}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,296,"[{""id"": 106421, ""name"": ""Daniil Medvedev"", ""hand"": ""R"",""height"":198,""ioc"":""RUS"",""age"":25.8, ""rank"": 2, ""rank_points"": 8640}, {""id"":200000, ""name"": ""Felix Auger Aliassime"", ""hand"":""R"", ""height"":193, ""ioc"": ""CAN"", ""age"": 21.4, ""rank"": 11, ""rank_points"": 3308}]","{""score"": ""6-4 6-0"", ""best_of"": 3, ""round"": ""SF"", ""minutes"": 68, ""winner_id"": 106421, ""loser_id"": 200000}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,295,"[{""id"": 133430, ""name"": ""Denis Shapovalov"", ""hand"": ""L"",""height"":185,""ioc"":""CAN"",""age"":22.7, ""rank"": 14, ""rank_points"": 2475}, {""id"":126128, ""name"": ""Roman Safiullin"", ""hand"":""R"", ""height"":185, ""ioc"": ""RUS"", ""age"": 24.4, ""rank"": 167, ""rank_points"": 409}]","{""score"": ""6-4 5-7 6-4"", ""best_of"": 3, ""round"": ""SF"", ""minutes"": 159, ""winner_id"": 133430, ""loser_id"": 126128}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,294,"[{""id"": 134770, ""name"": ""Casper Ruud"", ""hand"": ""R"",""height"":183,""ioc"":""NOR"",""age"":23.0, ""rank"": 8, ""rank_points"": 4160}, {""id"":105583, ""name"": ""Dusan Lajovic"", ""hand"":""R"", ""height"":180, ""ioc"": ""SRB"", ""age"": 31.5, ""rank"": 33, ""rank_points"": 1591}]","{""score"": ""6-3 7-5"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 100, ""winner_id"": 134770, ""loser_id"": 105583}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,293,"[{""id"": 105936, ""name"": ""Filip Krajinovic"", ""hand"": ""R"",""height"":185,""ioc"":""SRB"",""age"":29.8, ""rank"": 42, ""rank_points"": 1402}, {""id"":126340, ""name"": ""Viktor Durasovic"", ""hand"":""R"", ""height"":185, ""ioc"": ""NOR"", ""age"": 24.7, ""rank"": 345, ""rank_points"": 137}]","{""score"": ""6-2 7-5"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 73, ""winner_id"": 105936, ""loser_id"": 126340}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,292,"[{""id"": 106426, ""name"": ""Cristian Garin"", ""hand"": ""R"",""height"":185,""ioc"":""CHI"",""age"":25.5, ""rank"": 17, ""rank_points"": 2353}, {""id"":105583, ""name"": ""Dusan Lajovic"", ""hand"":""R"", ""height"":180, ""ioc"": ""SRB"", ""age"": 31.5, ""rank"": 33, ""rank_points"": 1591}]","{""score"": ""4-6 6-4 3-0 RET"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 134, ""winner_id"": 106426, ""loser_id"": 105583}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,291,"[{""id"": 105936, ""name"": ""Filip Krajinovic"", ""hand"": ""R"",""height"":185,""ioc"":""SRB"",""age"":29.8, ""rank"": 42, ""rank_points"": 1402}, {""id"":126214, ""name"": ""Alejandro Tabilo"", ""hand"":""L"", ""height"":188, ""ioc"": ""CHI"", ""age"": 24.5, ""rank"": 139, ""rank_points"": 505}]","{""score"": ""6-4 3-6 7-6(5)"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 145, ""winner_id"": 105936, ""loser_id"": 126214}"
